LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME, Value ,Flag Codes
AUT,HHEXP,TOT,MLN_USD,A,1990,81049.46 ,E
AUT,HHEXP,TOT,MLN_USD,A,1991,85839.52 ,E
AUT,HHEXP,TOT,MLN_USD,A,1992,90732.74 ,E
AUT,HHEXP,TOT,MLN_USD,A,1993,93192.50 ,E
AUT,HHEXP,TOT,MLN_USD,A,1994,96856.55 ,E
AUT,HHEXP,TOT,MLN_USD,A,1995,100089.19 ,
AUT,HHEXP,TOT,MLN_USD,A,1996,104973.95 ,
AUT,HHEXP,TOT,MLN_USD,A,1997,107445.42 ,
AUT,HHEXP,TOT,MLN_USD,A,1998,111900.81 ,
AUT,HHEXP,TOT,MLN_USD,A,1999,114549.45 ,
AUT,HHEXP,TOT,MLN_USD,A,2000,122795.50 ,
AUT,HHEXP,TOT,MLN_USD,A,2001,125175.58 ,
AUT,HHEXP,TOT,MLN_USD,A,2002,130389.13 ,
AUT,HHEXP,TOT,MLN_USD,A,2003,136346.70 ,
AUT,HHEXP,TOT,MLN_USD,A,2004,143575.28 ,
AUT,HHEXP,TOT,MLN_USD,A,2005,149903.89 ,
AUT,HHEXP,TOT,MLN_USD,A,2006,160028.68 ,
AUT,HHEXP,TOT,MLN_USD,A,2007,164105.92 ,
AUT,HHEXP,TOT,MLN_USD,A,2008,171924.46 ,
AUT,HHEXP,TOT,MLN_USD,A,2009,175996.57 ,
AUT,HHEXP,TOT,MLN_USD,A,2010,181210.27 ,
AUT,HHEXP,TOT,MLN_USD,A,2011,191942.49 ,
AUT,HHEXP,TOT,MLN_USD,A,2012,201680.90 ,
AUT,HHEXP,TOT,MLN_USD,A,2013,209858.17 ,
AUT,HHEXP,TOT,MLN_USD,A,2014,213990.24 ,
AUT,HHEXP,TOT,MLN_USD,A,2015,217724.21 ,
AUT,HHEXP,TOT,MLN_USD,A,2016,230844.62 ,
AUT,HHEXP,TOT,MLN_USD,A,2020,235802.31 ,
AUT,HHEXP,TOT,MLN_USD,A,2017,239973.08 ,
AUT,HHEXP,TOT,MLN_USD,A,2018,250904.36 ,
AUT,HHEXP,TOT,MLN_USD,A,2019,257734.87 ,
BEL,HHEXP,TOT,MLN_USD,A,1990,99338.25 ,E
BEL,HHEXP,TOT,MLN_USD,A,1991,105728.22 ,E
BEL,HHEXP,TOT,MLN_USD,A,1992,108478.39 ,E
BEL,HHEXP,TOT,MLN_USD,A,1993,108883.91 ,E
BEL,HHEXP,TOT,MLN_USD,A,1994,113992.06 ,E
BEL,HHEXP,TOT,MLN_USD,A,1995,118530.57 ,
BEL,HHEXP,TOT,MLN_USD,A,1996,121288.02 ,
BEL,HHEXP,TOT,MLN_USD,A,1997,125163.94 ,
BEL,HHEXP,TOT,MLN_USD,A,1998,129510.73 ,
BEL,HHEXP,TOT,MLN_USD,A,1999,133231.34 ,
BEL,HHEXP,TOT,MLN_USD,A,2000,146571.61 ,
BEL,HHEXP,TOT,MLN_USD,A,2001,152653.95 ,
BEL,HHEXP,TOT,MLN_USD,A,2002,158336.59 ,
BEL,HHEXP,TOT,MLN_USD,A,2003,161105.98 ,
BEL,HHEXP,TOT,MLN_USD,A,2004,164512.82 ,
BEL,HHEXP,TOT,MLN_USD,A,2005,171080.81 ,
BEL,HHEXP,TOT,MLN_USD,A,2006,182193.01 ,
BEL,HHEXP,TOT,MLN_USD,A,2007,190063.02 ,
BEL,HHEXP,TOT,MLN_USD,A,2008,201721.90 ,
BEL,HHEXP,TOT,MLN_USD,A,2009,205345.85 ,
BEL,HHEXP,TOT,MLN_USD,A,2010,219046.19 ,
BEL,HHEXP,TOT,MLN_USD,A,2011,228343.13 ,
BEL,HHEXP,TOT,MLN_USD,A,2012,239152.46 ,
BEL,HHEXP,TOT,MLN_USD,A,2013,250664.01 ,
BEL,HHEXP,TOT,MLN_USD,A,2014,255750.20 ,
BEL,HHEXP,TOT,MLN_USD,A,2015,261909.53 ,
BEL,HHEXP,TOT,MLN_USD,A,2016,276677.62 ,
BEL,HHEXP,TOT,MLN_USD,A,2017,289412.78 ,
BEL,HHEXP,TOT,MLN_USD,A,2020,291718.17 ,P
BEL,HHEXP,TOT,MLN_USD,A,2018,305195.62 ,
BEL,HHEXP,TOT,MLN_USD,A,2019,316422.81 ,
CZE,HHEXP,TOT,MLN_USD,A,1991,56856.63 ,E
CZE,HHEXP,TOT,MLN_USD,A,1993,62266.83 ,E
CZE,HHEXP,TOT,MLN_USD,A,1992,62668.27 ,E
CZE,HHEXP,TOT,MLN_USD,A,1994,64215.13 ,E
CZE,HHEXP,TOT,MLN_USD,A,1990,64730.74 ,E
CZE,HHEXP,TOT,MLN_USD,A,1995,68610.59 ,
CZE,HHEXP,TOT,MLN_USD,A,1996,73442.63 ,
CZE,HHEXP,TOT,MLN_USD,A,1998,76605.66 ,
CZE,HHEXP,TOT,MLN_USD,A,1997,76958.87 ,
CZE,HHEXP,TOT,MLN_USD,A,1999,79383.67 ,
CZE,HHEXP,TOT,MLN_USD,A,2000,82873.89 ,
CZE,HHEXP,TOT,MLN_USD,A,2001,88538.38 ,
CZE,HHEXP,TOT,MLN_USD,A,2002,91568.51 ,
CZE,HHEXP,TOT,MLN_USD,A,2003,98228.55 ,
CZE,HHEXP,TOT,MLN_USD,A,2004,102637.10 ,
CZE,HHEXP,TOT,MLN_USD,A,2005,106456.91 ,
CZE,HHEXP,TOT,MLN_USD,A,2006,113313.85 ,
CZE,HHEXP,TOT,MLN_USD,A,2007,122855.28 ,
CZE,HHEXP,TOT,MLN_USD,A,2008,135878.93 ,
CZE,HHEXP,TOT,MLN_USD,A,2009,139266.43 ,
CZE,HHEXP,TOT,MLN_USD,A,2010,141513.37 ,
CZE,HHEXP,TOT,MLN_USD,A,2011,147954.21 ,
CZE,HHEXP,TOT,MLN_USD,A,2012,150042.58 ,
CZE,HHEXP,TOT,MLN_USD,A,2013,158503.18 ,
CZE,HHEXP,TOT,MLN_USD,A,2014,163097.91 ,
CZE,HHEXP,TOT,MLN_USD,A,2015,166335.01 ,
CZE,HHEXP,TOT,MLN_USD,A,2016,178189.00 ,
CZE,HHEXP,TOT,MLN_USD,A,2017,191814.94 ,
CZE,HHEXP,TOT,MLN_USD,A,2020,202634.41 ,
CZE,HHEXP,TOT,MLN_USD,A,2018,204027.42 ,
CZE,HHEXP,TOT,MLN_USD,A,2019,213202.32 ,
ESP,HHEXP,TOT,MLN_USD,A,1990,321722.11 ,E
ESP,HHEXP,TOT,MLN_USD,A,1991,340380.20 ,E
ESP,HHEXP,TOT,MLN_USD,A,1992,354944.14 ,E
ESP,HHEXP,TOT,MLN_USD,A,1993,358604.47 ,E
ESP,HHEXP,TOT,MLN_USD,A,1994,373311.58 ,E
ESP,HHEXP,TOT,MLN_USD,A,1995,387305.78 ,
ESP,HHEXP,TOT,MLN_USD,A,1996,402112.26 ,
ESP,HHEXP,TOT,MLN_USD,A,1997,425190.45 ,
ESP,HHEXP,TOT,MLN_USD,A,1998,451298.68 ,
ESP,HHEXP,TOT,MLN_USD,A,1999,472881.77 ,
ESP,HHEXP,TOT,MLN_USD,A,2000,514286.35 ,
ESP,HHEXP,TOT,MLN_USD,A,2001,547126.37 ,
ESP,HHEXP,TOT,MLN_USD,A,2002,583020.36 ,
ESP,HHEXP,TOT,MLN_USD,A,2003,601900.98 ,
ESP,HHEXP,TOT,MLN_USD,A,2004,643071.84 ,
ESP,HHEXP,TOT,MLN_USD,A,2005,688782.54 ,
ESP,HHEXP,TOT,MLN_USD,A,2006,774583.82 ,
ESP,HHEXP,TOT,MLN_USD,A,2007,831507.06 ,
ESP,HHEXP,TOT,MLN_USD,A,2009,833375.19 ,
ESP,HHEXP,TOT,MLN_USD,A,2010,843026.74 ,
ESP,HHEXP,TOT,MLN_USD,A,2011,856128.20 ,
ESP,HHEXP,TOT,MLN_USD,A,2008,863818.36 ,
ESP,HHEXP,TOT,MLN_USD,A,2012,867340.73 ,
ESP,HHEXP,TOT,MLN_USD,A,2013,875573.35 ,
ESP,HHEXP,TOT,MLN_USD,A,2014,908248.23 ,
ESP,HHEXP,TOT,MLN_USD,A,2015,930459.99 ,
ESP,HHEXP,TOT,MLN_USD,A,2020,981952.94 ,P
ESP,HHEXP,TOT,MLN_USD,A,2016,990163.49 ,
ESP,HHEXP,TOT,MLN_USD,A,2017,1055971.02 ,
ESP,HHEXP,TOT,MLN_USD,A,2018,1088687.22 ,P
ESP,HHEXP,TOT,MLN_USD,A,2019,1119369.23 ,P
EST,HHEXP,TOT,MLN_USD,A,1993,4958.63 ,E
EST,HHEXP,TOT,MLN_USD,A,1994,5009.24 ,E
EST,HHEXP,TOT,MLN_USD,A,1995,5093.10 ,
EST,HHEXP,TOT,MLN_USD,A,1996,5529.79 ,
EST,HHEXP,TOT,MLN_USD,A,1997,6351.16 ,
EST,HHEXP,TOT,MLN_USD,A,1999,6426.73 ,
EST,HHEXP,TOT,MLN_USD,A,1998,6591.34 ,
EST,HHEXP,TOT,MLN_USD,A,2000,7011.05 ,
EST,HHEXP,TOT,MLN_USD,A,2001,7658.72 ,
EST,HHEXP,TOT,MLN_USD,A,2002,8687.37 ,
EST,HHEXP,TOT,MLN_USD,A,2003,9674.00 ,
EST,HHEXP,TOT,MLN_USD,A,2004,10682.07 ,
EST,HHEXP,TOT,MLN_USD,A,2005,11942.92 ,
EST,HHEXP,TOT,MLN_USD,A,2006,13733.99 ,
EST,HHEXP,TOT,MLN_USD,A,2009,14148.12 ,
EST,HHEXP,TOT,MLN_USD,A,2010,14710.03 ,
EST,HHEXP,TOT,MLN_USD,A,2007,15187.57 ,
EST,HHEXP,TOT,MLN_USD,A,2008,15830.27 ,
EST,HHEXP,TOT,MLN_USD,A,2011,16007.45 ,
EST,HHEXP,TOT,MLN_USD,A,2012,17070.80 ,
EST,HHEXP,TOT,MLN_USD,A,2013,18161.44 ,
EST,HHEXP,TOT,MLN_USD,A,2014,18772.69 ,
EST,HHEXP,TOT,MLN_USD,A,2015,19213.68 ,
EST,HHEXP,TOT,MLN_USD,A,2016,20657.23 ,
EST,HHEXP,TOT,MLN_USD,A,2017,21710.17 ,
EST,HHEXP,TOT,MLN_USD,A,2018,23314.11 ,
EST,HHEXP,TOT,MLN_USD,A,2020,24214.56 ,
EST,HHEXP,TOT,MLN_USD,A,2019,24397.16 ,
FIN,HHEXP,TOT,MLN_USD,A,1990,43487.07 ,
FIN,HHEXP,TOT,MLN_USD,A,1991,44920.84 ,
FIN,HHEXP,TOT,MLN_USD,A,1992,45073.04 ,
FIN,HHEXP,TOT,MLN_USD,A,1993,45721.63 ,
FIN,HHEXP,TOT,MLN_USD,A,1994,47379.48 ,
FIN,HHEXP,TOT,MLN_USD,A,1995,48853.24 ,
FIN,HHEXP,TOT,MLN_USD,A,1996,50868.00 ,
FIN,HHEXP,TOT,MLN_USD,A,1997,53893.05 ,
FIN,HHEXP,TOT,MLN_USD,A,1998,57254.95 ,
FIN,HHEXP,TOT,MLN_USD,A,1999,59931.25 ,
FIN,HHEXP,TOT,MLN_USD,A,2000,63547.14 ,
FIN,HHEXP,TOT,MLN_USD,A,2001,65684.47 ,
FIN,HHEXP,TOT,MLN_USD,A,2002,68713.32 ,
FIN,HHEXP,TOT,MLN_USD,A,2003,71829.97 ,
FIN,HHEXP,TOT,MLN_USD,A,2004,76845.63 ,
FIN,HHEXP,TOT,MLN_USD,A,2005,79617.19 ,
FIN,HHEXP,TOT,MLN_USD,A,2006,86102.67 ,
FIN,HHEXP,TOT,MLN_USD,A,2007,92534.66 ,
FIN,HHEXP,TOT,MLN_USD,A,2008,100121.18 ,
FIN,HHEXP,TOT,MLN_USD,A,2009,100534.42 ,
FIN,HHEXP,TOT,MLN_USD,A,2010,104591.20 ,
FIN,HHEXP,TOT,MLN_USD,A,2011,111571.79 ,
FIN,HHEXP,TOT,MLN_USD,A,2012,113911.41 ,
FIN,HHEXP,TOT,MLN_USD,A,2013,116568.35 ,
FIN,HHEXP,TOT,MLN_USD,A,2014,118569.06 ,
FIN,HHEXP,TOT,MLN_USD,A,2015,121152.62 ,
FIN,HHEXP,TOT,MLN_USD,A,2016,128167.42 ,
FIN,HHEXP,TOT,MLN_USD,A,2017,133246.23 ,
FIN,HHEXP,TOT,MLN_USD,A,2020,134769.07 ,
FIN,HHEXP,TOT,MLN_USD,A,2018,139237.34 ,
FIN,HHEXP,TOT,MLN_USD,A,2019,143012.21 ,
FRA,HHEXP,TOT,MLN_USD,A,1990,551801.89 ,
FRA,HHEXP,TOT,MLN_USD,A,1991,574632.19 ,
FRA,HHEXP,TOT,MLN_USD,A,1992,596536.69 ,
FRA,HHEXP,TOT,MLN_USD,A,1993,609311.42 ,
FRA,HHEXP,TOT,MLN_USD,A,1994,632312.20 ,
FRA,HHEXP,TOT,MLN_USD,A,1995,654351.93 ,
FRA,HHEXP,TOT,MLN_USD,A,1996,679393.52 ,
FRA,HHEXP,TOT,MLN_USD,A,1997,698437.03 ,
FRA,HHEXP,TOT,MLN_USD,A,1998,733420.94 ,
FRA,HHEXP,TOT,MLN_USD,A,1999,761756.06 ,
FRA,HHEXP,TOT,MLN_USD,A,2000,827336.91 ,
FRA,HHEXP,TOT,MLN_USD,A,2001,881530.71 ,
FRA,HHEXP,TOT,MLN_USD,A,2003,917740.19 ,
FRA,HHEXP,TOT,MLN_USD,A,2002,917901.62 ,
FRA,HHEXP,TOT,MLN_USD,A,2004,951094.01 ,
FRA,HHEXP,TOT,MLN_USD,A,2005,1013479.04 ,
FRA,HHEXP,TOT,MLN_USD,A,2006,1081326.30 ,
FRA,HHEXP,TOT,MLN_USD,A,2007,1140543.17 ,
FRA,HHEXP,TOT,MLN_USD,A,2008,1189484.52 ,
FRA,HHEXP,TOT,MLN_USD,A,2009,1199304.86 ,
